X,CH1,
Second,Volt,
-1.72000e-05,0.00e+00,
-1.71600e-05,0.00e+00,
-1.71200e-05,-7.99e-02,
-1.70800e-05,0.00e+00,
-1.70400e-05,0.00e+00,
-1.70000e-05,0.00e+00,
-1.69600e-05,0.00e+00,
-1.69200e-05,0.00e+00,
-1.68800e-05,0.00e+00,
-1.68400e-05,7.99e-02,
-1.68000e-05,0.00e+00,
-1.67600e-05,0.00e+00,
-1.67200e-05,0.00e+00,
-1.66800e-05,0.00e+00,
-1.66400e-05,7.99e-02,
-1.66000e-05,-7.99e-02,
-1.65600e-05,0.00e+00,
-1.65200e-05,0.00e+00,
-1.64800e-05,0.00e+00,
-1.64400e-05,-7.99e-02,
-1.64000e-05,7.99e-02,
-1.63600e-05,0.00e+00,
-1.63200e-05,0.00e+00,
-1.62800e-05,0.00e+00,
-1.62400e-05,0.00e+00,
-1.62000e-05,0.00e+00,
-1.61600e-05,0.00e+00,
-1.61200e-05,0.00e+00,
-1.60800e-05,0.00e+00,
-1.60400e-05,0.00e+00,
-1.60000e-05,0.00e+00,
-1.59600e-05,0.00e+00,
-1.59200e-05,0.00e+00,
-1.58800e-05,0.00e+00,
-1.58400e-05,0.00e+00,
-1.58000e-05,7.99e-02,
-1.57600e-05,0.00e+00,
-1.57200e-05,0.00e+00,
-1.56800e-05,-7.99e-02,
-1.56400e-05,0.00e+00,
-1.56000e-05,0.00e+00,
-1.55600e-05,7.99e-02,
-1.55200e-05,0.00e+00,
-1.54800e-05,0.00e+00,
-1.54400e-05,0.00e+00,
-1.54000e-05,0.00e+00,
-1.53600e-05,0.00e+00,
-1.53200e-05,0.00e+00,
-1.52800e-05,0.00e+00,
-1.52400e-05,0.00e+00,
-1.52000e-05,0.00e+00,
-1.51600e-05,0.00e+00,
-1.51200e-05,0.00e+00,
-1.50800e-05,7.99e-02,
-1.50400e-05,0.00e+00,
-1.50000e-05,0.00e+00,
-1.49600e-05,0.00e+00,
-1.49200e-05,0.00e+00,
-1.48800e-05,0.00e+00,
-1.48400e-05,0.00e+00,
-1.48000e-05,0.00e+00,
-1.47600e-05,0.00e+00,
-1.47200e-05,0.00e+00,
-1.46800e-05,0.00e+00,
-1.46400e-05,0.00e+00,
-1.46000e-05,0.00e+00,
-1.45600e-05,7.99e-02,
-1.45200e-05,0.00e+00,
-1.44800e-05,7.99e-02,
-1.44400e-05,0.00e+00,
-1.44000e-05,0.00e+00,
-1.43600e-05,7.99e-02,
-1.43200e-05,7.99e-02,
-1.42800e-05,0.00e+00,
-1.42400e-05,0.00e+00,
-1.42000e-05,0.00e+00,
-1.41600e-05,0.00e+00,
-1.41200e-05,7.99e-02,
-1.40800e-05,0.00e+00,
-1.40400e-05,0.00e+00,
-1.40000e-05,0.00e+00,
-1.39600e-05,0.00e+00,
-1.39200e-05,0.00e+00,
-1.38800e-05,0.00e+00,
-1.38400e-05,0.00e+00,
-1.38000e-05,0.00e+00,
-1.37600e-05,0.00e+00,
-1.37200e-05,0.00e+00,
-1.36800e-05,0.00e+00,
-1.36400e-05,0.00e+00,
-1.36000e-05,0.00e+00,
-1.35600e-05,0.00e+00,
-1.35200e-05,0.00e+00,
-1.34800e-05,0.00e+00,
-1.34400e-05,7.99e-02,
-1.34000e-05,0.00e+00,
-1.33600e-05,7.99e-02,
-1.33200e-05,0.00e+00,
-1.32800e-05,0.00e+00,
-1.32400e-05,0.00e+00,
-1.32000e-05,0.00e+00,
-1.31600e-05,0.00e+00,
-1.31200e-05,0.00e+00,
